tokens per iteration will be: 491,520
Initializing a new model from scratch
Initializing a new model from scratch
number of parameters: 120.01M
/users/4/serra082/gpt2mla/train_mla.py:184: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
using fused AdamW: True
step 0: train loss 10.9600, val loss 10.9594
iter 960: loss 4.7444, time 2578.91ms, mfu 24.51%
iter 970: loss 4.7810, time 2694.45ms, mfu 24.50%
iter 980: loss 4.7374, time 2595.62ms, mfu 24.58%
iter 990: loss 4.7335, time 2578.74ms, mfu 24.66%
step 1000: train loss 4.7667, val loss 4.7750
saving checkpoint to out-mla
iter 1000: loss 4.9830, time 14138.85ms, mfu 22.66%
iter 1010: loss 4.4868, time 2682.99ms, mfu 22.84%
iter 1020: loss 4.7663, time 2714.45ms, mfu 22.98%
iter 1030: loss 4.6989, time 2682.72ms, mfu 23.12%
iter 1040: loss 4.5275, time 2793.80ms, mfu 23.16%
iter 1050: loss 4.5645, time 2705.20ms, mfu 23.27%
iter 1060: loss 4.6537, time 2581.26ms, mfu 23.49%
iter 1070: loss 4.7120, time 2577.74ms, mfu 23.69%
iter 1080: loss 4.5337, time 2610.11ms, mfu 23.83%
iter 1090: loss 4.5957, time 2710.54ms, mfu 23.87%
iter 1100: loss 4.4880, time 2609.92ms, mfu 24.00%
iter 1110: loss 4.3786, time 2778.06ms, mfu 23.96%
iter 1120: loss 4.7249, time 2592.65ms, mfu 24.10%
iter 1130: loss 4.5912, time 2622.98ms, mfu 24.19%
iter 1140: loss 4.5954, time 2683.79ms, mfu 24.22%
iter 1150: loss 4.7431, time 3024.93ms, mfu 23.96%
iter 1160: loss 4.9204, time 2582.34ms, mfu 24.11%
iter 1170: loss 4.6180, time 3079.22ms, mfu 23.83%
iter 1180: loss 4.3687, time 2579.90ms, mfu 23.99%
iter 1190: loss 4.6687, time 2699.35ms, mfu 24.02%
iter 1200: loss 4.5893, time 2912.09ms, mfu 23.88%
iter 1210: loss 4.4173, time 2787.23ms, mfu 23.84%
iter 1220: loss 4.3517, time 2600.63ms, mfu 23.98%
