Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 123.59M
/users/4/serra082/gpt2mla/train.py:208: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
using fused AdamW: True
step 0: train loss 10.9887, val loss 10.9909
iter 940: loss 4.7035, time 2022.46ms, mfu 33.06%
iter 950: loss 4.5852, time 2026.54ms, mfu 33.08%
iter 960: loss 4.5723, time 2018.84ms, mfu 33.10%
iter 970: loss 4.7127, time 2018.92ms, mfu 33.13%
iter 980: loss 4.2334, time 2027.65ms, mfu 33.14%
iter 990: loss 4.6028, time 2034.59ms, mfu 33.13%
step 1000: train loss 4.5126, val loss 4.5211
saving checkpoint to out
iter 1000: loss 4.2935, time 11755.62ms, mfu 30.39%
iter 1010: loss 4.7723, time 2020.48ms, mfu 30.68%
iter 1020: loss 4.4416, time 2032.01ms, mfu 30.93%
iter 1030: loss 4.3092, time 2021.60ms, mfu 31.17%
iter 1040: loss 4.4573, time 2019.78ms, mfu 31.38%
iter 1050: loss 4.4617, time 2045.30ms, mfu 31.54%
iter 1060: loss 4.3179, time 2027.87ms, mfu 31.70%
iter 1070: loss 4.4907, time 2019.14ms, mfu 31.87%
iter 1080: loss 4.2689, time 2026.31ms, mfu 32.00%
iter 1090: loss 4.1095, time 2022.55ms, mfu 32.13%
iter 1100: loss 3.9742, time 2033.46ms, mfu 32.23%
iter 1110: loss 4.4816, time 2037.85ms, mfu 32.31%
iter 1120: loss 4.7962, time 2112.88ms, mfu 32.27%
iter 1130: loss 4.1635, time 2045.64ms, mfu 32.33%
iter 1140: loss 4.3990, time 2051.18ms, mfu 32.38%
iter 1150: loss 4.1315, time 2092.31ms, mfu 32.36%
iter 1160: loss 4.2066, time 2020.70ms, mfu 32.46%
iter 1170: loss 4.3260, time 2022.85ms, mfu 32.54%
iter 1180: loss 4.3302, time 2018.66ms, mfu 32.62%
iter 1190: loss 4.0067, time 2019.97ms, mfu 32.69%
iter 1200: loss 4.1633, time 2020.37ms, mfu 32.76%
iter 1210: loss 3.9412, time 2019.88ms, mfu 32.81%
iter 1220: loss 4.3365, time 2039.94ms, mfu 32.83%
iter 1230: loss 4.1906, time 2030.00ms, mfu 32.87%
iter 1240: loss 4.0256, time 2055.88ms, mfu 32.85%
iter 1250: loss 3.9706, time 2028.73ms, mfu 32.89%
iter 1260: loss 4.3250, time 2022.48ms, mfu 32.93%
iter 1270: loss 4.0332, time 2123.04ms, mfu 32.81%
iter 1280: loss 4.1236, time 2036.40ms, mfu 32.83%
iter 1290: loss 4.3015, time 2019.25ms, mfu 32.88%
iter 1300: loss 4.3264, time 2028.67ms, mfu 32.91%
iter 1310: loss 4.1608, time 2020.56ms, mfu 32.95%
iter 1320: loss 4.4092, time 2023.47ms, mfu 32.99%
iter 1330: loss 4.2150, time 2019.97ms, mfu 33.02%
iter 1340: loss 4.2261, time 2020.14ms, mfu 33.05%
iter 1350: loss 4.0129, time 2035.28ms, mfu 33.05%
